year,treatment,replicate,station,core,section,depth,soil_dwt,cum_soil_dw,c_prct,n_prct,gavel_free_Bd,Comments,Outliers
#,,,,,,cm,kg_m2,kg_m2,%,%,g/cm3,,
2001,1,4,2,1,D,100,535.9254113,1218.496008,0.0732094,0.0050022,1.140266833,,
2001,1,4,3,1,S,26,329.9323636,329.9323636,0.567133333,0.053166667,1.268970629,soils re-processed and analyzed in July 2019,
2001,1,4,3,1,M,55,402.901164,732.8335276,0.2134704,0.02245035,1.389314359,,
2001,1,4,3,1,D,100,499.010432,1231.84396,0.1854182,0.01387515,1.108912071,,
2001,1,4,4,1,S,22,283.9752238,283.9752238,0.6292,0.0636,1.290796472,soils re-processed and analyzed in July 2019,
2001,1,4,4,1,M,72,688.9819194,972.9571432,0.259996,0.02983455,1.377963839,,
2001,1,4,4,1,D,100,352.7243492,1325.681492,0.1101562,0.0073842,1.259729819,,
2001,1,4,5,1,S,28,359.6423197,359.6423197,0.760233333,0.069766667,1.284436856,soils re-processed and analyzed in July 2019,
2001,1,4,5,1,M,70,568.0753155,927.7176352,0.2524698,0.03114465,1.352560275,,
2001,1,4,5,1,D,100,388.0605386,1315.778174,0.1211034,0.01732905,1.293535129,,
2001,1,5,1,1,S,18,240.2570951,240.2570951,0.708133333,0.0631,1.33476164,soils re-processed and analyzed in July 2019,
2001,1,5,1,1,M,36,122.3757398,362.6328349,0.213166667,0.0246,1.359730442,soils re-processed and analyzed in July 2019,
2001,1,5,1,1,D,100,875.2260273,1237.858862,0.012633333,0.000966667,1.367540668,soils re-processed and analyzed in July 2019,
2001,1,5,2,1,S,18,261.1545329,261.1545329,0.7304,0.0636,1.450858516,soils re-processed and analyzed in July 2019,
2001,1,5,2,1,M,42,347.8444531,608.9989859,0.1815,0.022566667,1.449351888,soils re-processed and analyzed in July 2019,
2001,1,5,2,1,D,100,798.35331,1407.352296,0.0514,0.005266667,1.376471224,soils re-processed and analyzed in July 2019,
2001,1,5,3,1,S,20,291.1802469,291.1802469,0.6887,0.067,1.455901235,soils re-processed and analyzed in July 2019,
2001,1,5,3,1,M,47,387.4290226,678.6092696,0.207733333,0.028866667,1.434922306,soils re-processed and analyzed in July 2019,
2001,1,5,3,1,D,100,719.3276973,1397.936967,0.058333333,0.0066,1.35722207,soils re-processed and analyzed in July 2019,
2001,1,5,4,1,S,18,233.36783,233.36783,0.694233333,0.0781,1.296487944,soils re-processed and analyzed in July 2019,
